length,width,area,density,severity
173.0,3.0346820809248554,525.0,0.0080108642578125,0
74.0,3.3783783783783785,250.0,0.003814697265625,0
844.0,9.071090047393366,7656.0,0.1168212890625,2
32.0,6.40625,205.0,0.0031280517578125,0
350.0,7.5,2625.0,0.0400543212890625,1
264.0,7.640151515151516,2017.0,0.0307769775390625,1
204.0,7.392156862745098,1508.0,0.02301025390625,1
41.0,3.073170731707317,126.0,0.001922607421875,0
597.0,7.994974874371859,4773.0,0.0728302001953125,2
660.0,8.836363636363636,5832.0,0.0889892578125,2
399.0,9.892230576441102,3947.0,0.0602264404296875,2
783.0,9.127713920817369,7147.0,0.1090545654296875,2
709.0,9.500705218617771,6736.0,0.102783203125,2
472.0,10.90677966101695,5148.0,0.07855224609375,2
480.0,9.320833333333333,4474.0,0.068267822265625,2
413.0,7.656174334140436,3162.0,0.048248291015625,1
295.0,7.783050847457627,2296.0,0.0350341796875,1
778.0,8.019280205655527,6239.0,0.0951995849609375,2
94.0,5.648936170212766,531.0,0.0081024169921875,0
403.0,7.575682382133995,3053.0,0.0465850830078125,1
971.0,10.625128733264676,10317.0,0.1574249267578125,2
552.0,9.893115942028986,5461.0,0.0833282470703125,2
472.0,10.402542372881356,4910.0,0.074920654296875,2
428.0,18.962616822429908,8116.0,0.12384033203125,2
17.0,6.588235294117647,112.0,0.001708984375,0
376.0,7.454787234042553,2803.0,0.0427703857421875,1
55.0,9.309090909090909,512.0,0.0078125,0
715.0,8.204195804195804,5866.0,0.089508056640625,2
745.0,6.116778523489933,4557.0,0.0695343017578125,2
862.0,7.547563805104408,6506.0,0.099273681640625,2
27.0,6.666666666666667,180.0,0.00274658203125,0
362.0,6.1353591160221,2221.0,0.0338897705078125,1
597.0,7.815745393634841,4666.0,0.071197509765625,2
112.0,7.5625,847.0,0.0129241943359375,0
257.0,7.21011673151751,1853.0,0.0282745361328125,1
168.0,5.8273809523809526,979.0,0.0149383544921875,0
108.0,7.194444444444445,777.0,0.0118560791015625,0
303.0,5.8250825082508255,1765.0,0.0269317626953125,1
211.0,6.085308056872038,1284.0,0.01959228515625,0
293.0,6.4709897610921505,1896.0,0.0289306640625,1
1308.0,7.982415902140673,10441.0,0.1593170166015625,2
812.0,7.850985221674877,6375.0,0.0972747802734375,2
1380.0,7.90072463768116,10903.0,0.1663665771484375,2
56.0,6.910714285714286,387.0,0.0059051513671875,0
259.0,7.571428571428571,1961.0,0.0299224853515625,1
287.0,8.473867595818815,2432.0,0.037109375,1
107.0,2.5981308411214954,278.0,0.004241943359375,0
